pred_RR,ref_RR,greenRrFromIbiList,irBaselineRrList,stdIbiMSecList,avgHrFeatureBpmList,irCardiacRespRmsRatioList,irRangeRmsRatioList,irGreenCorrCoefficientList,Differences,conf_score,conf_score1
13.463912963867188,10.901333333333334,8.90207715133531,10.135135135135137,48.07145296021937,70.2723465401205,0.0753143807397913,4.553335488330694,0.8358682287715743,2.562579630533854,62.383970518889285,62.380960984109514
15.766018867492676,11.382666666666667,11.538461538461538,10.638297872340424,44.30941093489602,69.77347807278949,0.1347947655936929,3.709242005827304,0.7189114966736941,4.383352200826009,50.1595981434805,50.157178338298216
13.759543418884276,11.509333333333334,11.538461538461538,13.157894736842104,49.242295236289934,71.04730610082858,0.2486936248999611,6.475381247772612,0.1278160660956742,2.2502100855509415,65.10126965107553,65.09812902803417
14.514423370361328,6.386666666666667,12.875536480686696,18.75,49.81612165987652,65.20463866044719,0.1184582941915027,3.743102160915649,0.7440538986570042,8.127756703694661,34.52451430325703,34.52284876761243
15.585545539855955,7.277333333333333,13.100436681222709,13.27433628318584,64.90822793689117,67.712848603208,0.1662174605313101,4.210362526183076,0.7675489241131376,8.308212206522622,33.944809136579465,33.94317156713912
12.949983596801758,8.126666666666667,13.157894736842104,11.984021304926763,55.70402656569309,68.55687250971755,0.1533313748327139,4.466431188039277,0.7274496317121847,4.823316930135091,47.833362411195154,47.831054828548325
13.977404594421388,8.084,13.513513513513514,11.210762331838565,66.7106590731342,67.68844488108992,0.0835512500643134,4.085300151265714,0.8540138230606468,5.893404594421389,42.83806260778628,42.83599600897501
15.054876327514648,7.396,13.513513513513514,11.40684410646388,54.44646171528255,65.62061253434393,0.1840438904662517,7.564737234085999,0.6283734871204246,7.6588763275146485,36.08607216199017,36.08433129348928
14.250948905944824,7.213333333333333,12.93103448275862,11.335012594458435,63.64679109285792,66.78113835128252,0.2254036733971769,7.327899548600439,0.5961555992054912,7.037615572611491,38.29071568073593,38.28886845556535
17.354589462280273,7.656,12.82051282051282,22.727272727272727,62.10847917183329,70.57825122203427,0.2556432782357635,6.743784072238992,0.4238032247846156,9.698589462280275,29.822460222817416,29.821021524214046
16.85196304321289,8.369333333333334,9.404388714733544,20.83333333333333,48.7919960875227,71.22674135928197,0.3225649662596771,6.855831000595942,0.12288345073668,8.482629709879557,33.39508420068245,33.39347315113656
15.61270236968994,9.036,9.404388714733544,20.83333333333333,50.45030632150662,71.86190944175942,0.2618219739423739,6.095056479437325,0.2411881932500802,6.57670236968994,40.03940016443559,40.03746857902425
15.96047306060791,10.248,11.278195488721805,15.718562874251496,57.68533579719388,67.90340777333742,0.1325751483100474,4.427756918484666,0.879727012280453,5.712473060607911,43.62565668767681,43.6235520936601
13.984034538269045,10.66,11.538461538461538,11.87782805429864,52.968720496683446,69.28496820319967,0.2155552874838122,4.497496380826982,0.7909014401892382,3.3240345382690446,56.64812154645522,56.64538872117037
13.330073356628418,9.137333333333334,12.605042016806722,11.758118701007838,51.11510989667879,71.42967572208183,0.1997267731666873,5.181680437313145,0.4114639930175899,4.192740023295084,51.227082652014964,51.22461134912056
15.127206802368164,7.205333333333333,13.88888888888889,9.300265721877768,45.60709579671138,71.73253132177564,0.1877814247430093,4.785735059916027,0.487186146276928,7.921873469034831,35.20006920408193,35.19837107823905
15.360681533813477,8.425333333333333,13.636363636363637,7.603186097031137,47.24736660885832,68.61802584263208,0.2068018975210092,3.877540646505896,0.6129453035108079,6.935348200480144,38.669896763031694,38.66803124536313
14.807202339172363,11.024,13.513513513513514,9.519492293744332,45.4225678189723,67.68716690931772,0.3758182920868095,6.772506375610047,0.3011996425711454,3.783202339172364,53.65969680165434,53.657108144304495
15.739025115966797,12.64,13.513513513513514,9.519492293744332,48.07569909129828,67.72875940385393,0.2602229901577457,6.055189086465113,0.3871332572506995,3.0990251159667963,58.2305471589934,58.227737994147645
15.7124662399292,11.965333333333334,13.513513513513514,7.972665148063782,45.60676010636354,67.85484373948336,0.2438952044279065,5.675360961195933,0.3690592456583567,3.7471329065958656,53.88383833762225,53.88123886721028
15.827292442321776,10.669333333333332,13.513513513513514,6.840390879478828,48.831417428414085,67.77770417082704,0.0834916464178221,3.8293878905333054,0.4103848740336906,5.157959108988443,46.17881310652054,46.17658534283419
14.753790855407717,10.314666666666668,13.513513513513514,8.728179551122194,46.23572588591948,67.34182290626171,0.1331039200754582,4.233778555515215,0.3898073763311526,4.439124188741049,49.85439959776713,49.85199451600869
15.018810272216797,11.522666666666666,13.452914798206278,9.641873278236911,46.68387729187924,67.09751586083841,0.1492856584878752,4.880328440274381,0.4772931597114657,3.496143605550131,55.4923535571311,55.48967648854036
15.178888320922852,13.02,13.513513513513514,9.528130671506354,46.81009645812351,67.64254578310802,0.1373388841054863,4.710552246567144,0.6283997095269939,2.158888320922852,65.94517917186714,65.9419978368443
15.792914390563965,13.849333333333334,13.513513513513514,8.203125,45.64173777374205,68.09541076626331,0.1396646212451163,4.865553296100939,0.6550035800233042,1.943581057230631,68.03554604221482,68.03226386346967
17.002330780029297,13.428,13.636363636363637,7.373595505617978,54.83378921900819,69.96989247514587,0.1404624441222643,4.128353396560244,0.8634822403503309,3.574330780029296,54.98184219503371,54.97918975459161
13.43830680847168,12.56,13.636363636363637,9.162303664921463,62.96180818258282,71.89948221791153,0.1139295251427859,4.3259979266172826,0.6984836621777518,0.8783068084716792,81.33865575086398,81.33473180194912
